year,driver_name_champion,points,driver_name_highest_win_pct,win_percentage,same_driver,champion_dnf_pct,highest_win_pct_dnf,era,poles_x,driver_name,poles_y
1962,Graham Hill,42.0,Graham Hill,44.44444444444444,True,0.0,0.0,Historic Era (1950-1999),1.0,Graham Hill,1.0
1961,Phil Hill,34.0,Giancarlo Baghetti,33.33333333333333,False,0.0,66.66666666666666,Historic Era (1950-1999),5.0,Phil Hill,5.0
1960,Jack Brabham,43.0,Jim Rathmann,100.0,False,25.0,0.0,Historic Era (1950-1999),3.0,Jack Brabham,3.0
1958,Mike Hawthorn,42.0,Jimmy Bryan,100.0,False,20.0,0.0,Historic Era (1950-1999),4.0,Mike Hawthorn,4.0
1957,Juan Fangio,40.0,Sam Hanks,100.0,False,14.285714285714285,0.0,Historic Era (1950-1999),4.0,Juan Fangio,4.0
1956,Juan Fangio,30.0,Pat Flaherty,100.0,False,20.0,0.0,Historic Era (1950-1999),6.0,Juan Fangio,6.0
1955,Juan Fangio,40.0,Bob Sweikert,100.0,False,16.666666666666664,0.0,Historic Era (1950-1999),3.0,Juan Fangio,3.0
1953,Alberto Ascari,34.5,Bill Vukovich,100.0,False,22.22222222222222,0.0,Historic Era (1950-1999),6.0,Alberto Ascari,6.0
1952,Alberto Ascari,36.0,Troy Ruttman,100.0,False,14.285714285714285,0.0,Historic Era (1950-1999),5.0,Alberto Ascari,5.0
1951,Juan Fangio,31.0,Lee Wallard,100.0,False,12.5,0.0,Historic Era (1950-1999),4.0,Juan Fangio,4.0
1950,Nino Farina,30.0,Johnnie Parsons,100.0,False,16.666666666666664,0.0,Historic Era (1950-1999),2.0,Nino Farina,2.0
1954,Juan Fangio,42.0,Bill Vukovich,100.0,False,0.0,0.0,Historic Era (1950-1999),5.0,Juan Fangio,5.0
1963,Jim Clark,54.0,Jim Clark,70.0,True,0.0,0.0,Historic Era (1950-1999),7.0,Jim Clark,7.0
1959,Jack Brabham,31.0,Rodger Ward,50.0,False,25.0,50.0,Historic Era (1950-1999),1.0,Jack Brabham,1.0
2010,Sebastian Vettel,256.0,Fernando Alonso,26.31578947368421,False,15.789473684210526,5.263157894736842,Modern Era (2000+),10.0,Sebastian Vettel,10.0
2011,Sebastian Vettel,392.0,Sebastian Vettel,57.89473684210527,True,5.263157894736842,5.263157894736842,Modern Era (2000+),15.0,Sebastian Vettel,15.0
2012,Sebastian Vettel,281.0,Sebastian Vettel,25.0,True,5.0,5.0,Modern Era (2000+),6.0,Sebastian Vettel,6.0
2013,Sebastian Vettel,397.0,Sebastian Vettel,68.42105263157895,True,5.263157894736842,5.263157894736842,Modern Era (2000+),9.0,Sebastian Vettel,9.0
2014,Lewis Hamilton,384.0,Lewis Hamilton,57.89473684210527,True,15.789473684210526,15.789473684210526,Modern Era (2000+),7.0,Lewis Hamilton,7.0
2015,Lewis Hamilton,381.0,Lewis Hamilton,52.63157894736842,True,5.263157894736842,5.263157894736842,Modern Era (2000+),11.0,Lewis Hamilton,11.0
2016,Nico Rosberg,385.0,Lewis Hamilton,47.61904761904761,False,4.761904761904762,9.523809523809524,Modern Era (2000+),8.0,Nico Rosberg,8.0
2017,Lewis Hamilton,363.0,Lewis Hamilton,45.0,True,0.0,0.0,Modern Era (2000+),11.0,Lewis Hamilton,11.0
2018,Lewis Hamilton,408.0,Lewis Hamilton,52.38095238095239,True,4.761904761904762,4.761904761904762,Modern Era (2000+),11.0,Lewis Hamilton,11.0
2019,Lewis Hamilton,413.0,Lewis Hamilton,52.38095238095239,True,0.0,0.0,Modern Era (2000+),5.0,Lewis Hamilton,5.0
2020,Lewis Hamilton,347.0,Lewis Hamilton,68.75,True,0.0,0.0,Modern Era (2000+),10.0,Lewis Hamilton,10.0
2021,Max Verstappen,395.5,Max Verstappen,45.45454545454545,True,13.636363636363635,13.636363636363635,Modern Era (2000+),10.0,Max Verstappen,10.0
2022,Max Verstappen,454.0,Max Verstappen,68.18181818181817,True,4.545454545454546,4.545454545454546,Modern Era (2000+),7.0,Max Verstappen,7.0
2023,Max Verstappen,575.0,Max Verstappen,86.36363636363636,True,0.0,0.0,Modern Era (2000+),12.0,Max Verstappen,12.0
2024,Max Verstappen,437.0,Max Verstappen,37.5,True,4.166666666666666,4.166666666666666,Modern Era (2000+),8.0,Max Verstappen,8.0
